PM2.5,O3,PM10,SO2,NO2,CO
12.24,18.37,1.8,7.65,0.49,36.69
19.85,27.86,2.71,9.93,0.47,41.12
22.94,36.35,2.99,6.09,0.61,71.68
23.7,33.35,2.08,7.35,0.67,74.58
22.19,34.44,1.88,9.36,0.72,70.5
25.58,34.86,3.18,7.33,0.71,59.26
21.48,30.57,2.28,11.01,0.71,69.55
18.51,30.9,1.82,9.7,0.67,81.58
22.47,35.41,2.01,13.16,0.69,68.9
21.69,36.26,2.85,20.52,0.6,35.81
23.99,42.98,6.84,6.11,0.53,60.92
21.81,32.99,4.4,7.78,0.67,91.19
25.52,38.41,2.58,8.26,0.6,84.34
23.66,36.77,2.38,9.41,0.52,53.03
22.3,31.52,2.38,10.06,0.44,24.59
21.9,31.29,2.42,12.77,0.53,38.5
21.31,32.46,2.19,15.73,0.63,51.87
19.79,29.7,5.98,8.36,0.6,56.69
17.81,27.65,3.36,6.48,0.55,89.71
13.4,23.62,1.85,5.45,0.5,90.76
14.44,29.47,1.65,5.81,0.52,84.42
14.84,33.93,1.63,9.32,0.54,64.94
15.86,31.49,1.76,10.83,0.58,48.26
11.26,20.99,1.66,10.67,0.48,27.3
7.82,13.78,1.48,7.66,0.41,25.26
7.12,12.37,1.45,9.53,0.42,28.49
4.95,8.66,1.11,5.7,0.38,30.63
8.2,12.03,1.13,7.93,0.46,31.52
11.94,17.64,1.9,5.88,0.39,46.78
6.54,12.24,1.2,6.04,0.38,41.94
7.13,8.69,1.42,8.99,0.46,32.02
16.78,21.47,2.14,9.25,0.67,72.74
20.0,31.54,2.45,6.54,0.51,83.16
18.18,25.4,1.83,9.35,0.58,72.97
18.32,25.99,1.9,9.58,0.55,55.69
19.46,25.51,2.02,10.76,0.57,39.82
15.64,21.66,2.04,9.19,0.46,31.47
15.84,20.37,1.74,5.71,0.43,35.16
17.03,25.73,1.61,4.59,0.44,51.67
17.84,23.66,1.86,9.09,0.49,39.49
17.85,22.93,1.93,8.18,0.51,35.5
18.29,24.84,1.8,10.13,0.49,32.63
19.73,27.29,1.87,6.35,0.46,49.56
19.19,28.49,1.69,6.97,0.51,63.83
18.6,29.18,1.69,9.06,0.57,56.69
17.35,25.39,1.63,7.62,0.55,43.73
15.22,23.92,1.59,14.49,0.58,22.06
14.13,19.78,1.96,9.31,0.59,22.03
14.48,18.16,1.58,5.37,0.48,21.67
16.85,19.9,1.78,7.11,0.55,17.6
14.39,16.25,1.81,4.97,0.49,20.59
12.4,16.23,1.46,6.37,0.49,24.75
15.54,17.27,1.38,7.9,0.52,35.11
16.24,16.29,1.39,7.76,0.53,36.2
15.11,18.53,1.71,4.54,0.43,36.19
28.0,37.17,5.65,6.15,0.51,73.1
39.93,53.25,7.07,6.02,0.68,103.26
33.86,46.52,5.06,7.02,0.6,81.19
22.0,37.15,4.37,7.74,0.52,56.95
12.17,25.33,3.22,7.45,0.45,52.76
10.02,25.61,3.47,7.54,0.48,54.34
34.49,24.43,2.08,8.62,0.55,35.41
22.82,32.78,4.39,10.27,0.54,34.46
15.65,31.82,5.32,12.66,0.54,41.33
16.9,26.56,2.31,13.81,0.48,33.43
16.51,22.94,2.08,13.59,0.46,28.03
13.01,12.78,1.15,7.88,0.44,44.75
11.87,21.9,1.06,12.16,0.55,52.16
11.26,15.01,1.31,9.45,0.41,58.22
14.38,17.39,1.54,9.82,0.4,52.62
13.71,16.26,1.55,8.61,0.44,52.25
14.27,17.01,1.19,8.23,0.45,61.89
16.71,18.92,1.35,8.24,0.49,59.19
15.9,20.54,1.31,7.26,0.51,51.97
8.38,9.42,1.02,3.52,0.47,43.42
5.35,10.77,0.96,3.31,0.5,40.22
6.3,10.39,0.99,4.04,0.51,46.69
5.14,9.13,1.1,4.31,0.39,50.9
6.24,11.36,1.07,4.33,0.41,48.14
8.7,15.8,1.04,4.79,0.44,55.94
8.73,12.83,1.07,5.23,0.42,49.26
8.01,8.92,0.99,3.45,0.45,42.3
5.79,6.56,0.98,3.92,0.47,32.99
7.36,10.07,1.28,8.76,0.5,25.32
8.66,10.49,1.58,11.33,0.38,25.15
10.74,13.28,1.47,14.78,0.46,29.63
8.01,9.03,1.34,9.15,0.49,47.89
11.79,12.94,1.13,10.98,0.57,51.53
9.82,10.63,1.22,9.37,0.55,46.19
7.95,7.13,1.16,7.24,0.51,34.53
10.79,7.91,1.35,6.91,0.5,35.83
8.72,9.73,1.39,6.06,0.46,53.81
5.86,11.36,1.25,6.6,0.46,51.0
6.43,11.35,1.26,7.16,0.42,60.7
8.14,12.36,1.43,12.57,0.47,63.25
9.91,20.78,1.57,16.47,0.46,52.8
7.51,10.89,1.57,8.67,0.39,66.97
10.08,13.99,1.82,9.61,0.42,65.58
9.0,16.51,1.91,14.49,0.41,47.85
11.34,18.48,3.0,13.27,0.45,48.88
14.55,22.94,2.98,14.44,0.49,49.09
18.88,27.94,4.32,18.66,0.56,48.7
18.82,32.28,3.81,21.23,0.58,44.53
7.67,13.4,2.43,14.67,0.51,39.15
7.54,13.36,1.94,17.01,0.42,42.86
7.2,12.63,1.73,17.5,0.38,41.49
5.72,22.22,1.35,21.94,0.45,39.38
5.23,12.07,1.22,13.61,0.37,48.79
7.59,15.94,1.38,11.15,0.4,47.34
8.49,21.86,1.74,11.62,0.38,47.88
10.14,24.33,2.3,9.49,0.39,45.34
6.81,12.38,2.02,11.29,0.41,40.86
6.04,11.59,1.61,13.36,0.35,38.6
8.31,16.76,1.11,14.67,0.39,43.33
9.18,22.0,1.25,18.78,0.39,36.15
8.73,18.98,1.65,14.18,0.39,35.54
10.33,20.31,2.28,18.94,0.42,40.05
11.43,19.63,2.93,16.37,0.46,30.64
10.54,14.36,2.8,15.25,0.45,32.45
5.75,12.33,1.33,14.73,0.47,41.39
10.71,25.21,1.58,20.54,0.54,35.34
8.14,15.81,1.78,10.62,0.46,40.14
9.28,14.17,1.67,10.66,0.46,49.2
8.18,12.62,1.53,7.04,0.45,48.13
9.43,13.0,2.01,8.99,0.47,57.42
14.12,24.77,2.65,21.5,0.52,41.1
12.03,25.79,2.34,20.09,0.43,40.97
9.18,18.44,1.63,21.27,0.42,39.17
6.86,13.47,1.56,14.19,0.4,43.56
9.79,19.82,1.79,22.97,0.48,31.32
8.02,16.42,1.73,14.42,0.45,34.22
